[2018-11-25 11:58:37] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'closedir() expects parameter 1 to be resource, boolean given',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/file.php',   'line' => 168, ) [] []
[2018-11-25 12:15:33] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'closedir() expects parameter 1 to be resource, boolean given',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/file.php',   'line' => 168, ) [] []
[2018-11-25 12:55:54] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to get property of non-object',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/class-wp-terms-list-table.php',   'line' => 524, ) [] []
[2018-11-25 12:55:58] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to get property of non-object',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/class-wp-terms-list-table.php',   'line' => 524, ) [] []
[2018-11-25 12:56:00] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to get property of non-object',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/class-wp-terms-list-table.php',   'line' => 524, ) [] []
[2018-11-25 12:56:02] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to get property of non-object',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/class-wp-terms-list-table.php',   'line' => 524, ) [] []
[2018-11-25 12:56:05] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to get property of non-object',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/class-wp-terms-list-table.php',   'line' => 524, ) [] []
[2018-11-25 13:14:57] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'closedir() expects parameter 1 to be resource, boolean given',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-admin/includes/file.php',   'line' => 168, ) [] []
[2018-11-25 13:22:39] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Non-static method WP_Feed_Cache::create() should not be called statically',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-includes/SimplePie/Registry.php',   'line' => 215, ) [] []
[2018-11-25 13:24:16] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Non-static method WP_Feed_Cache::create() should not be called statically',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-includes/SimplePie/Registry.php',   'line' => 215, ) [] []
[2018-11-25 13:24:45] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Non-static method WP_Feed_Cache::create() should not be called statically',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-includes/SimplePie/Registry.php',   'line' => 215, ) [] []
[2018-11-25 13:56:47] php_system.INFO: E_USER_NOTICE: array (   'type' => 1024,   'message' => 'Failed to ping google:   Bad Request   Bad Request Error 400   ',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-content/plugins/google-sitemap-generator/sitemap-core.php',   'line' => 1914, ) [] []
[2018-11-25 13:58:49] php_system.INFO: E_USER_NOTICE: array (   'type' => 1024,   'message' => 'Failed to ping google:   Bad Request   Bad Request Error 400   ',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-content/plugins/google-sitemap-generator/sitemap-core.php',   'line' => 1914, ) [] []
[2018-11-25 13:59:13] php_system.INFO: E_USER_NOTICE: array (   'type' => 1024,   'message' => 'Failed to ping google:   Bad Request   Bad Request Error 400   ',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-content/plugins/google-sitemap-generator/sitemap-core.php',   'line' => 1914, ) [] []
[2018-11-25 13:59:24] php_system.INFO: E_USER_NOTICE: array (   'type' => 1024,   'message' => 'Failed to ping google:   Bad Request   Bad Request Error 400   ',   'file' => '/Users/vsarapin/programs/MAMP/apache2/htdocs/wp-content/plugins/google-sitemap-generator/sitemap-core.php',   'line' => 1914, ) [] []
